step,time_s,throttle,slope,regen,ambient_temp,trip_type
0,0.0,0.0,0.0,0.5,35.0,0
1,0.1,100.0,0.00024,0.0,34.86,0
2,0.2,70.92,-0.00146,0.0,34.85,0
3,0.3,100.0,-0.00185,0.0,34.94,0
4,0.4,100.0,-0.00331,0.0,35.0,0
5,0.5,100.0,-0.00468,0.0,34.94,0
6,0.6,100.0,-0.0027,0.0,34.96,0
7,0.7,100.0,-0.00048,0.0,35.01,0
8,0.8,77.99,0.00068,0.0,35.11,0
9,0.9,25.65,-0.00039,0.0,35.15,0
10,1.0,0.0,-0.00077,0.5,35.09,0
11,1.1,0.0,0.00129,0.5,35.03,0
12,1.2,0.0,0.00038,0.5,34.91,0
13,1.3,0.0,-9e-05,0.5,35.05,0
14,1.4,1.64,0.00024,0.5,35.07,0
15,1.5,0.0,0.00206,0.5,35.04,0
16,1.6,71.85,0.00158,0.0,35.07,0
17,1.7,95.24,-0.00051,0.0,35.1,0
18,1.8,100.0,0.00142,0.0,35.16,0
19,1.9,71.42,0.00104,0.0,35.15,0
20,2.0,100.0,0.00273,0.0,35.11,0
21,2.1,79.1,0.00402,0.0,35.08,0
22,2.2,91.82,0.00562,0.0,35.09,0
23,2.3,66.66,0.00446,0.0,35.07,0
24,2.4,0.0,0.00531,0.5,35.12,0
25,2.5,0.0,0.00381,0.5,35.18,0
26,2.6,0.0,0.0044,0.5,35.17,0
27,2.7,0.0,0.0026,0.5,35.17,0
28,2.8,4.6,0.00476,0.5,35.27,0
29,2.9,26.39,0.00547,0.0,35.21,0
30,3.0,0.0,0.00549,0.5,35.21,0
31,3.1,26.79,0.00487,0.0,35.24,0
32,3.2,34.01,0.00445,0.0,35.24,0
33,3.3,62.57,0.00373,0.0,35.28,0
34,3.4,58.6,0.00495,0.0,35.26,0
35,3.5,51.09,0.00572,0.0,35.3,0
36,3.6,57.88,0.00521,0.0,35.41,0
37,3.7,44.08,0.00338,0.0,35.38,0
38,3.8,57.88,0.00449,0.0,35.54,0
39,3.9,19.35,0.00504,0.0,35.49,0
40,4.0,0.0,0.00405,0.5,35.51,0
41,4.1,8.49,0.0036,0.5,35.54,0
42,4.2,34.59,0.00131,0.0,35.53,0
43,4.3,41.04,-0.00159,0.0,35.53,0
44,4.4,24.17,-0.00158,0.0,35.65,0
45,4.5,24.85,-0.00191,0.0,35.71,0
46,4.6,86.08,-0.00153,0.0,35.68,0
47,4.7,100.0,0.0018,0.0,35.6,0
48,4.8,89.16,0.0015,0.0,35.58,0
49,4.9,95.33,0.00062,0.0,35.5,0
50,5.0,98.97,0.00142,0.0,35.51,0
51,5.1,100.0,-0.00058,0.0,35.44,0
52,5.2,100.0,0.00025,0.0,35.32,0
53,5.3,88.08,-4e-05,0.0,35.36,0
54,5.4,63.29,0.0018,0.0,35.42,0
55,5.5,0.0,0.00097,0.5,35.54,0
56,5.6,0.0,-0.0005,0.5,35.56,0
57,5.7,0.0,-0.00239,0.5,35.58,0
58,5.8,3.12,-0.00268,0.5,35.61,0
59,5.9,4.86,-0.00066,0.5,35.58,0
60,6.0,9.64,-0.00076,0.5,35.52,0
61,6.1,100.0,-0.00034,0.0,35.58,0
62,6.2,100.0,-0.00155,0.0,35.57,0
63,6.3,100.0,-0.00117,0.0,35.47,0
64,6.4,61.93,-0.00368,0.0,35.45,0
65,6.5,59.42,-0.00455,0.0,35.57,0
66,6.6,73.31,-0.00287,0.0,35.66,0
67,6.7,81.66,-0.00447,0.0,35.7,0
68,6.8,77.34,-0.00784,0.0,35.73,0
69,6.9,38.11,-0.01063,0.0,35.67,0
70,7.0,0.0,-0.00809,0.5,35.68,0
71,7.1,5.01,-0.00804,0.5,35.78,0
72,7.2,0.0,-0.00773,0.5,35.78,0
73,7.3,18.35,-0.00918,0.0,35.7,0
74,7.4,15.56,-0.00959,0.0,35.8,0
75,7.5,16.46,-0.00627,0.0,35.79,0
