step,time_s,throttle,slope,regen,ambient_temp,trip_type
0,0.0,0.0,0.0,0.5,28.0,0
1,0.1,14.64,0.00125,0.0,28.03,0
2,0.2,24.78,0.00012,0.0,28.08,0
3,0.3,23.98,0.00038,0.0,28.09,0
4,0.4,13.34,-0.00037,0.0,28.04,0
5,0.5,21.89,-0.00115,0.0,28.07,0
6,0.6,27.44,-0.00168,0.0,28.08,0
7,0.7,38.31,-0.00107,0.0,28.12,0
8,0.8,29.77,-2e-05,0.0,28.08,0
9,0.9,39.33,7e-05,0.0,28.03,0
10,1.0,50.72,0.0002,0.0,28.05,0
11,1.1,52.76,0.00043,0.0,28.0,0
12,1.2,35.0,0.0005,0.0,28.01,0
13,1.3,26.14,-0.00033,0.0,28.03,0
14,1.4,13.2,-0.0008,0.0,28.05,0
15,1.5,12.25,0.00153,0.0,27.95,0
16,1.6,0.98,0.00068,0.5,27.97,0
17,1.7,0.04,0.00093,0.5,27.99,0
18,1.8,4.94,0.001,0.5,27.93,0
19,1.9,8.12,0.0002,0.0,27.86,0
20,2.0,11.16,0.00116,0.0,27.94,0
21,2.1,9.14,0.00137,0.0,27.97,0
22,2.2,16.94,0.00125,0.0,28.03,0
23,2.3,20.5,0.00136,0.0,28.09,0
24,2.4,31.52,0.00138,0.0,28.07,0
25,2.5,28.51,-0.00035,0.0,28.0,0
26,2.6,45.39,-0.00088,0.0,27.99,0
27,2.7,71.94,-0.00146,0.0,28.06,0
28,2.8,79.05,-0.00139,0.0,28.02,0
29,2.9,74.51,-0.00221,0.0,28.05,0
30,3.0,70.61,-0.00246,0.0,28.09,0
31,3.1,68.79,-0.00185,0.0,28.11,0
32,3.2,33.56,-0.00376,0.0,28.08,0
33,3.3,18.64,-0.00395,0.0,28.14,0
34,3.4,21.26,-0.00335,0.0,28.14,0
35,3.5,16.97,-0.00352,0.0,28.06,0
36,3.6,0.0,-0.00306,0.5,28.06,0
37,3.7,0.0,-0.00342,0.5,28.05,0
38,3.8,5.44,-0.00462,0.0,28.08,0
39,3.9,8.7,-0.00445,0.0,28.17,0
40,4.0,18.27,-0.00341,0.0,28.18,0
41,4.1,19.14,-0.00253,0.0,28.19,0
42,4.2,28.62,-0.00333,0.0,28.2,0
43,4.3,46.49,-0.00294,0.0,28.18,0
44,4.4,54.35,-0.00248,0.0,28.1,0
45,4.5,54.08,-0.00217,0.0,28.1,0
46,4.6,50.77,-0.00195,0.0,28.09,0
47,4.7,67.94,-0.00234,0.0,28.1,0
48,4.8,73.47,-0.00124,0.0,28.13,0
49,4.9,57.47,0.00035,0.0,28.05,0
50,5.0,43.18,0.00038,0.0,28.01,0
51,5.1,58.78,1e-05,0.0,28.02,0
52,5.2,35.81,0.00051,0.0,27.94,0
53,5.3,33.87,-5e-05,0.0,27.93,0
54,5.4,31.89,0.00228,0.0,27.96,0
55,5.5,23.64,0.00183,0.0,27.94,0
56,5.6,12.24,0.00279,0.0,27.92,0
57,5.7,2.78,0.00362,0.5,27.86,0
58,5.8,0.0,0.00342,0.5,27.83,0
59,5.9,0.0,0.00305,0.5,27.9,0
60,6.0,0.0,0.00261,0.5,27.95,0
61,6.1,0.0,0.00146,0.5,27.98,0
62,6.2,3.24,0.00061,0.5,28.01,0
63,6.3,7.16,0.00192,0.0,28.05,0
64,6.4,10.59,0.00082,0.0,28.04,0
65,6.5,14.64,0.0006,0.0,28.08,0
66,6.6,23.79,0.00101,0.0,28.05,0
67,6.7,43.6,0.00139,0.0,28.03,0
68,6.8,36.72,0.00161,0.0,27.97,0
69,6.9,28.2,0.00119,0.0,28.02,0
70,7.0,22.94,0.00129,0.0,28.12,0
71,7.1,31.49,0.00113,0.0,28.14,0
72,7.2,3.89,0.00143,0.5,28.06,0
73,7.3,0.07,0.00117,0.5,28.03,0
74,7.4,5.77,0.00181,0.0,28.05,0
75,7.5,0.0,0.00202,0.5,27.98,0
76,7.6,0.0,0.00236,0.5,27.88,0
77,7.7,0.0,0.00294,0.5,27.85,0
78,7.8,0.0,0.00353,0.5,27.89,0
79,7.9,0.0,0.0044,0.5,27.92,0
80,8.0,0.0,0.00417,0.5,27.9,0
81,8.1,0.0,0.00433,0.5,27.88,0
82,8.2,0.0,0.00393,0.5,27.92,0
83,8.3,0.0,0.00381,0.5,27.96,0
84,8.4,18.51,0.00334,0.0,27.95,0
